,name,category_code,tag_list,offices,zip_code,city,country_code,latitude,longitude
172,Selteco,software,"html, flash, gif, animation, dhtml, swf","[{'zip_code': '60173', 'city': 'Schaumburg', 'country_code': 'USA', 'latitude': 42.062816, 'longitude': -88.034017}, {'zip_code': 'L1T 3L3', 'city': 'Ajax Ontario', 'country_code': 'CAN', 'latitude': 43.8714181, 'longitude': -79.0342794}, {'zip_code': '02697', 'city': 'Warsaw', 'country_code': 'POL', 'latitude': 52.1712424, 'longitude': 21.0062704}]",02697,Warsaw,POL,52.1712424,21.0062704
173,Say Design,games_video,"design, games, free-to-play, social-network, browser-based, mmo, mmorpg, virtual-worlds, flash, multiplayer, xbox, wii, ds, nintendo, psp, iphone, ipod, casual, online","[{'zip_code': '92656', 'city': 'Aliso Viejo', 'country_code': 'USA', 'latitude': 33.579204, 'longitude': -117.7293383}]",92656,Aliso Viejo,USA,33.579204,-117.7293383
174,EnergyWeb Solutions,ecommerce,"web-design, ecommerce, emarketing, hvac, heating-oil","[{'zip_code': '18106', 'city': 'Allentown', 'country_code': 'USA', 'latitude': 40.58471, 'longitude': -75.588974}, {'zip_code': '18106', 'city': 'Allentown', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",18106,Allentown,USA,,
175,Joy Group,web,"web-development, internet, web-design, web-applications, elearning, jons-slemmer, jeroen-erne","[{'zip_code': '1312 NC', 'city': 'Almere', 'country_code': 'NLD', 'latitude': None, 'longitude': None}]",1312 NC,Almere,NLD,,
176,ApogeeInvent,software,"web-development, software-development, website, ecommerce, mlm-software, website-design, seo, search-engine-optimization","[{'zip_code': '83211', 'city': 'American Falls', 'country_code': 'USA', 'latitude': 43.825874, 'longitude': -111.780958}]",83211,American Falls,USA,43.825874,-111.780958
177,Wezz Interactive,public_relations,"wezz-interactive, webdesign, amsterdam","[{'zip_code': '1019 AS', 'city': 'Amsterdam', 'country_code': 'NLD', 'latitude': 52.3692971, 'longitude': 4.9339596}]",1019 AS,Amsterdam,NLD,52.3692971,4.9339596
178,MARS media,ecommerce,"web-design, hosting, cms, branding, seo, search-engine-optimization, content-management-systems, web-development, online-marketing","[{'zip_code': '1105 AG', 'city': 'Amsterdam', 'country_code': 'NLD', 'latitude': 52.2986042, 'longitude': 4.9549211}]",1105 AG,Amsterdam,NLD,52.2986042,4.9549211
179,MetaSpring,ecommerce,"web-development, website-design, ecommerce, ruby, ruby-on-rails, merb","[{'zip_code': '48103', 'city': 'Ann Arbor', 'country_code': 'USA', 'latitude': 42.2932626, 'longitude': -83.8897472}]",48103,Ann Arbor,USA,42.2932626,-83.8897472
180,Web:Studio,network_hosting,"web-design, web-hosting, domain-names, graphic-design","[{'zip_code': 'Co Louth', 'city': 'Ardee', 'country_code': 'IRL', 'latitude': None, 'longitude': None}]",Co Louth,Ardee,IRL,,
181,New Media Strategies,advertising,"digital-marketing, online-advertising, social-media, mobile-marketing, website-design, digital-pr","[{'zip_code': '22209', 'city': 'Arlington', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",22209,Arlington,USA,,
